ID;Neighbourhood;City;Latitude;Longitude;Zipcode;PropertyType;RoomType;BedType;Beds;Bedrooms;Bathrooms;Accommodates;Amenities;Price;SecurityDeposit;CleaningFee;CancellationPolicy;ReviewScoresRating;Market;Internet;TV;Kitchen;Airconditioning;Heating
13226641;Centro;Madrid;40.40901134000833;-3.7112225444414144;28005;Apartment;Entire home/apt;Real Bed;3.0;2.0;1.0;6;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox;67.15;0.0;17.0;strict;91;Madrid;True;True;True;True;True
11633315;Centro;Madrid;40.42247796997057;-3.7101564044628295;28013;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;53.55;85.0;0.0;moderate;95;Madrid;True;True;True;True;True
9935947;Centro;Madrid;40.41322292205862;-3.711935339760139;28005;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;68.0;170.0;42.5;strict;99;Madrid;True;True;True;True;True
15701193;Centro;Madrid;40.41578614611588;-3.7099269990498622;28013;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo;61.2;170.0;25.5;strict;93;Madrid;True;True;True;True;True
13197405;Centro;Madrid;40.41247706434667;-3.7089954086062713;28005;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;3;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;51.0;0.0;21.25;strict;98;Madrid;True;True;True;True;True
12766878;Centro;Madrid;40.41105503357977;-3.716839748486407;28005;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;3;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;34.0;170.0;25.5;moderate;89;Madrid;True;True;True;True;True
15094639;Centro;Madrid;40.41166679202023;-3.710040500631537;28005;Apartment;Private room;Real Bed;1.0;1.0;1.0;2;Wireless Internet,Kitchen,Smoking allowed,Heating,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;34.0;0.0;0.0;moderate;97;Madrid;True;False;True;False;True
15852288;Centro;Madrid;40.40960750253689;-3.710648578507729;28005;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;2;TV,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;55.25;85.0;0.0;flexible;100;Madrid;True;True;True;False;True
10900611;Centro;Madrid;40.40940085610753;-3.711630313124473;28005;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;2;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo;41.65;76.5;12.75;strict;85;Madrid;True;True;True;True;True
1105892;Centro;Madrid;40.41106051873265;-3.709062553832325;28005;Apartment;Private room;Real Bed;1.0;1.0;1.0;2;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Pets live on this property,Dog(s),Elevator in building,Heating,Family/kid friendly,Washer;38.25;0.0;8.5;flexible;81;Madrid;True;True;True;False;True
10152233;Centro;Madrid;40.4097993460848;-3.7006812109375296;28012;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;29.75;85.0;17.0;strict;80;Madrid;True;True;True;False;True
4745997;Centro;Madrid;40.41006299208211;-3.707478844553208;28005;Apartment;Private room;Real Bed;1.0;1.0;1.0;2;TV,Wireless Internet,Kitchen,Gym,Heating,Family/kid friendly,Essentials,Shampoo;29.75;0.0;0.0;moderate;95;Madrid;True;True;True;False;True
16248091;Centro;Madrid;40.40872321515416;-3.692362019148068;28012;Apartment;Entire home/apt;Real Bed;6.0;4.0;2.0;8;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer;102.0;0.0;31.45;strict;93;Madrid;True;True;True;True;True
1536252;Centro;Madrid;40.41177611206862;-3.704898614268647;28012;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;3;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo;34.0;85.0;17.0;strict;91;Madrid;True;True;True;True;True
16675905;Centro;Madrid;40.40635370973264;-3.703991429463036;28012;Apartment;Entire home/apt;Real Bed;3.0;2.0;1.0;4;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Heating,Family/kid friendly,Washer,Essentials,Hangers,Iron,Laptop friendly workspace;55.25;0.0;0.0;flexible;92;Madrid;True;True;True;True;True
5832510;Centro;Madrid;40.410195379504586;-3.701701454349703;28012;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;2;TV,Kitchen,Buzzer/wireless intercom,Heating,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;24.65;212.5;21.25;strict;75;Madrid;False;True;True;False;True
12484031;Centro;Madrid;40.41010368433258;-3.7024079516336137;28012;Apartment;Entire home/apt;Real Bed;1.0;0.0;1.0;2;Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Essentials,Laptop friendly workspace;41.65;0.0;0.0;flexible;88;Madrid;True;False;True;True;True
1532354;Centro;Madrid;40.40842611110629;-3.706267182628448;28005;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;3;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Essentials;40.8;0.0;29.75;strict;87;Madrid;True;True;True;True;True
581691;Centro;Madrid;40.407177992344046;-3.70326771718013;28012;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;3;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer;40.8;76.5;17.0;strict;92;Madrid;True;True;True;True;True
9982157;Centro;Madrid;40.41244869783963;-3.7033574454587166;28012;Apartment;Entire home/apt;Real Bed;2.0;2.0;1.0;4;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Breakfast,Pets live on this property,Heating,Family/kid friendly,Suitable for events,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;42.5;85.0;21.25;moderate;71;Madrid;True;True;True;False;True
14280309;Centro;Madrid;40.41358226160519;-3.706742568186566;28005;Apartment;Private room;Futon;1.0;1.0;1.0;1;Wireless Internet,Breakfast,Buzzer/wireless intercom,Heating,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;15.3;0.0;7.65;moderate;92;Madrid;True;False;False;False;True
3555938;Centro;Madrid;40.41174043624051;-3.703884779810484;28012;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Smoking allowed,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;72.25;170.0;17.0;strict;80;Madrid;True;True;True;True;True
12107436;Centro;Madrid;40.41252552007671;-3.702327526354485;28012;Apartment;Entire home/apt;Real Bed;4.0;3.0;1.0;8;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;114.75;255.0;38.25;moderate;91;Madrid;True;True;True;True;True
16223429;Centro;Madrid;40.410513825901845;-3.699055538099477;28012;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;3;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;34.0;85.0;17.0;moderate;96;Madrid;True;True;True;False;True
3222779;Centro;Madrid;40.42580307547746;-3.70326305948532;28004;Apartment;Entire home/apt;Real Bed;3.0;2.0;1.0;6;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron;72.25;127.5;25.5;strict;86;Madrid;True;True;True;True;True
1333024;Centro;Madrid;40.42606120005854;-3.7023314081688894;28004;Apartment;Entire home/apt;Real Bed;3.0;1.0;1.0;4;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;63.75;170.0;25.5;strict;97;Madrid;True;True;True;True;True
1234836;Centro;Madrid;40.423965450543314;-3.709107727061833;28015;Apartment;Entire home/apt;Real Bed;2.0;2.0;1.0;4;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;42.5;0.0;21.25;strict;84;Madrid;True;True;True;True;True
8172203;Centro;Madrid;40.42882593747729;-3.7044845720164674;28004;Apartment;Entire home/apt;Real Bed;1.0;1.0;1.0;3;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;46.75;0.0;25.5;flexible;87;Madrid;True;True;True;True;True
5266480;Centro;Madrid;40.42107124667451;-3.7058532514816345;28004;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;38.25;0.0;21.25;strict;79;Madrid;True;True;True;True;True
2943509;Centro;Madrid;40.42435981347324;-3.706730789231222;28004;Apartment;Entire home/apt;Real Bed;5.0;2.0;1.0;8;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;84.15;212.5;21.25;moderate;90;Madrid;True;True;True;True;True
12709013;Centro;Madrid;40.42237394593423;-3.704246910752112;28004;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;3;TV,Wireless Internet,Kitchen,Elevator in building,Family/kid friendly,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace;34.0;0.0;4.25;strict;82;Madrid;True;True;True;False;False
16743974;Centro;Madrid;40.42670924710707;-3.7018606883146856;28004;Apartment;Entire home/apt;Real Bed;3.0;2.0;2.0;6;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Safety card,Essentials,Hangers,Iron,Laptop friendly workspace;102.0;0.0;34.0;strict;90;Madrid;True;True;True;True;True
6340181;Centro;Madrid;40.42590166455756;-3.706649703265676;28015;Apartment;Entire home/apt;Real Bed;2.0;1.0;1.0;4;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;64.6;0.0;21.25;strict;99;Madrid;True;True;True;True;True
11933593;Centro;Madrid;40.42371551994815;-3.704693479694531;28004;Apartment;Private room;Real Bed;1.0;1.0;1.0;2;Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;29.75;0.0;8.5;flexible;98;Madrid;True;True;True;True;True
